"ActorVial","Prioridad","COD","CONCESION","CORREDOR","ENTIDAD","IDPROY","ID_MT","CodVia","CodPRi","CodPRf","CodSegPRi","CodSegPRf","PasoUrbano","Xi","Yi","Xf","Yf","Shape_Leng"
"Moto","1","34,896","IP - Nueva Malla Vial del Valle del Cauca","Yumbo - Yotoco - Buga","ANI","1,100","5G001","2301","11","12","230111","230112","1","-76.4863568034","3.57906299157","-76.4859081195","3.57615710067","330.437366113"
"Moto","2","35,613","IP - Nueva Malla Vial del Valle del Cauca","Santander de Quilichao-Candelaria","ANI","5","5G001","2504A","35","36","2504A35","2504A36","1","-76.3497785772","3.41555702937","-76.3510122766","3.41050937467","587.579050898"
"Moto","3","19,085",,"El Hatillo - Girardota - Copacabana - Bello - Medellín","DEPTO","1,218","0",,"0","0",,,"1","-75.5255807844","6.34525428658","-75.5265195419","6.3450458332","107.078456507"
"Moto","4","15,279",,,"DEPTO","1,229","0","45AST08","11","12","45AST0811","45AST0812","1","-73.166214297","7.09911953237","-73.1687504837","7.09061947065","994.663574066"
"Moto","5","27,941","Villavicencio - Yopal","Villavicencio - Yopal","ANI","54","4G020","6511","7","8","65117","65118","1","-72.9337874745","4.61613333075","-72.9269963421","4.60988252599","1,030.00901165"
"Moto","6","11,003","Córdoba – Sucre","Planeta Rica - Sincelejo","ANI","14","3G006",,"0","0",,,"1","-75.3880644358","9.29098276583","-75.3964368318","9.28434783377","1,195.38371247"
"Moto","7","190",,"Ciénaga-Santa Marta","DEPTO","118","0",,"0","0",,,"1","-74.1602539382","11.2234359958","-74.1635344549","11.2145446067","1,128.91047236999"
"Moto","8","27,068",,"Variante Pereira","INVIAS-OTROS","1,156","0","29RSC","9","10","29RSC9","29RSC10","0","-75.691846445","4.83593125304","-75.6977094816","4.83137451842","963.770682788"
"Moto","9","11,674","Córdoba – Sucre","Montería-La Ye","ANI","89","3G006",,"0","0",,,"0","-75.8367046741","8.82804681841","-75.8373555835","8.8269727973","141.329000558"
"Moto","10","19,077",,"El Hatillo - Girardota - Copacabana - Bello - Medellín","DEPTO","1,218","0",,"0","0",,,"1","-75.517543691","6.34935831146","-75.5217921201","6.34659808083","570.813046452"
"Moto","11","40,020",,"Tumaco-Pedregal","INVIAS-OTROS","55","0","1001","60","61","100160","100161","0","-78.5722589317","1.40323224217","-78.563700312","1.39819903161","1,106.53872438"
"Moto","12","27,060",,"Variante Pereira","INVIAS-OTROS","1,156","0","29RSC","7","8","29RSC7","29RSC8","0","-75.7062085873","4.82865096013","-75.7124113116","4.82530601826","1,001.6771569"
"Moto","13","19,086",,"El Hatillo - Girardota - Copacabana - Bello - Medellín","DEPTO","1,218","0",,"0","0",,,"1","-75.505705655","6.35211571708","-75.5111995279","6.35060601439","638.471466186"
"Moto","14","36,053","IP - Nueva Malla Vial del Valle del Cauca","Santander de Quilichao-Candelaria","ANI","5","5G001","2504A","35","36","2504A35","2504A36","1","-76.3510122766","3.41050937467","-76.3515632023","3.40584354957","525.173519656"
"Moto","15","12,982",,"Hoyórrico - Caucasia","INVIAS-OTROS","1,220","0","2512","62","63","251262","251263","1","-75.2008323336","7.98857190115","-75.2023371018","7.97930919247","1,058.97703993"
"Moto","16","809","Córdoba – Sucre","Montería-La Ye","ANI","89","3G006",,"0","0",,,"0","-75.8375243459","8.82667108693","-75.84284384","8.81865736465","1,079.76430456"
"Moto","17","12,967","Autopistas al Mar 2","Chigorodó-Turbo","ANI","20","4G026","6201","16","17","620116","620117","0","-76.6404224592","8.00436302561","-76.6376063134","7.99483275324","1,116.94939793"
"Moto","18","37,814",,,"INVIAS-OTROS","1,589","0","2001","57","58","200157","200158","0","-76.639558417","2.45524225253","-76.6472295714","2.45705373463","999.790086624"
"Moto","19","38,800",,"Florencia - Guayabal - Altamira","INVIAS-OTROS","1,013","0","2003A","7","8","2003A7","2003A8","0","-75.7973003948","1.97176607727","-75.799306344","1.96320797082","1,006.9524499"
"Moto","20","8,311","Puerta de Hierro – Palmar de Varela y Carreto – Cruz del Viso","Carreto - Barranquilla","ANI","17","4G018","2516","45","46","251645","251646","0","-74.7592108055","10.637561328","-74.761275087","10.6290923721","1,021.82450348999"
"Moto","21","35,281","IP - Nueva Malla Vial del Valle del Cauca","Cali - Palmira","ANI","1,590","5G001","2505","8","9","25058","25059","0","-76.407356314","3.50875239943","-76.4160741244","3.50691008079","992.062654129"
"Moto","22","33,731",,"Buga- La Victoria","DEPTO","7","0","2505","74","75","250574","250575","0","-76.2731379374","3.95141481737","-76.2776369331","3.94366701827","1,007.66716823"
"Moto","23","41,624",,"Aguazul-Maní","DEPTO","83","0",,"0","0",,,"0","-72.5302474087","5.15690789332","-72.538156296","5.16165289603","1,027.86966159999"
"Moto","24","35,967",,"Palmira - El Palo","INVIAS-OTROS","1,052","0","3105","68","69","310568","310569","1","-76.2434892658","3.4218267647","-76.2422343564","3.42032153304","219.238858976"
"Moto","25","19,398","Desarrollo Vial del Oriente de Medellín – DEVIMED","Medellín - Santuario","ANI","1,212","1G009","6004","15","16","600415","600416","0","-75.4749743101","6.32654683367","-75.4671315749","6.32296397066","987.675886329"
"Moto","26","19,401","Desarrollo Vial del Oriente de Medellín – DEVIMED","Medellín - Santuario","ANI","1,212","1G009","6004","12","13","600412","600413","0","-75.4903911363","6.31842006511","-75.4899458746","6.32723753707","996.048912102"
"Moto","27","2,029",,"Barbosa - Bucaramanga","INVIAS-OTROS","42","0","45A07","83","84","45A0783","45A0784","0","-73.0652637546","7.02578590586","-73.0601151107","7.02039770917","836.684650927"
"Moto","28","28,054","Bogotá – La Vega – Villeta (BVLPV)",,"ANI","1,148","1G002","5008","144","145","5008144","5008145","1","-74.1305663196","4.7327463166","-74.1245872377","4.72582222853","1,021.2258249"
"Moto","29","19,405","Desarrollo Vial del Oriente de Medellín – DEVIMED","Medellín - Santuario","ANI","1,212","1G009","6004","0","1","60040","60041","1","-75.5551017969","6.30964490076","-75.5483294954","6.3147762088","1,021.94892938999"
"Moto","30","2,030",,"Barbosa - Bucaramanga","INVIAS-OTROS","42","0","45A07","82","83","45A0782","45A0783","0","-73.0601151107","7.02039770917","-73.0556026067","7.01123349003","1,167.73771704999"
"Moto","31","13,240",,"El Zulia-Cúcuta","INVIAS-OTROS","100","0","7009","58","59","700958","700959","0","-72.5936569332","7.93209598013","-72.5873877508","7.93004759197","741.133345183"
"Moto","32","19,383","Desarrollo Vial del Oriente de Medellín – DEVIMED","Medellín - Santuario","ANI","1,212","1G009","6004","6","7","60046","60047","0","-75.522907881","6.32865402581","-75.5151001903","6.32796112575","987.07039011"
"Moto","33","32,909",,"Buga- La Victoria","DEPTO","7","0","2505","99","100","250599","2505100","0","-76.1805890948","4.14108961443","-76.1813000815","4.13239873927","987.857053494"
"Moto","34","6,320",,"Palermo-Neiva","DEPTO","150","0",,"0","0",,,"0","-75.4219452637","2.88962066368","-75.4099649254","2.888431232","1,349.46202913999"
"Moto","35","10,597",,"Puerta del Hierro-Magangué","INVIAS-OTROS","91","0","7802","61","62","780261","780262","0","-74.770573572","9.25528530077","-74.7632959195","9.24951793535","1,041.23245167"
"Moto","36","34,706","IP - Nueva Malla Vial del Valle del Cauca","Yumbo - Yotoco - Buga","ANI","1,100","5G001","2301","13","14","230113","230114","1","-76.482824887","3.59669688618","-76.4833561364","3.58774464796","1,048.26029192999"
"Moto","37","2,025",,"Barbosa - Bucaramanga","INVIAS-OTROS","42","0","45A07","87","88","45A0787","45A0788","1","-73.0852811716","7.05726865041","-73.0782189158","7.04593445371","1,607.00570784999"
"Moto","38","12,966","Autopistas al Mar 2","Chigorodó-Turbo","ANI","20","4G026","6201","17","18","620117","620118","0","-76.6376063134","7.99483275324","-76.6354430218","7.98698019646","920.889840443"
"Moto","39","9,856","Ruta del Sol 3","Bosconia - Cienaga","ANI","33","3G012","4516","55","56","451655","451656","0","-73.7122628745","9.74256098215","-73.7098455529","9.74003009767","392.734581073"
"Moto","40","11,006","Córdoba – Sucre","Planeta Rica - Sincelejo","ANI","14","3G006",,"0","0",,,"0","-75.3964368318","9.28434783377","-75.4015190345","9.28055503226","709.687575589"
"Moto","41","1,118","Autopistas al Mar 2","Turbo - Necocli","ANI","21","4G026","9001","1","2","90011","90012","0","-76.7271183897","8.11148120319","-76.7312497909","8.10364020301","1,186.78474722"
"Moto","42","31,208","Armenia -Pereira - Manizales","La Paila - Calarcá","ANI","62","1G010","4002","37","38","400237","400238","1","-75.7926262056","4.45595144136","-75.800047134","4.45215756287","952.489973787"
"Moto","43","18,891",,"El Hatillo - Girardota - Copacabana - Bello - Medellín","DEPTO","1,218","0",,"0","0",,,"0","-75.4229115125","6.4089402424","-75.4341296142","6.39867434537","1,700.58228213999"
"Moto","44","36,469","IP - Nueva Malla Vial del Valle del Cauca","Santander de Quilichao-Candelaria","ANI","5","5G001","2504A","4","5","2504A4","2504A5","0","-76.442046054","3.19628011688","-76.4469601849","3.18900833434","979.606683897"
"Moto","45","33,238",,"Granada - Villavicencio","DEPTO","53","0",,"0","0",,,"1","-73.6545177895","4.10938876154","-73.6597629008","4.09947144085","1,253.90618689"
"Moto","46","39,670",,"Tumaco-Pedregal","INVIAS-OTROS","55","0","1001","24","25","100124","100125","0","-78.7482087689","1.66376464079","-78.7439616992","1.65573986663","1,011.66206251"
"Moto","47","32,904",,"Buga- La Victoria","DEPTO","7","0","2505","98","99","250598","250599","0","-76.1813000815","4.13239873927","-76.1785505202","4.12462313067","1,019.23130017999"
"Moto","48","36,105","IP - Nueva Malla Vial del Valle del Cauca","Santander de Quilichao-Candelaria","ANI","5","5G001","2504A","32","33","2504A32","2504A33","0","-76.3531958105","3.38900294967","-76.3525235019","3.37987075172","1,022.66285912"
"Moto","49","5,327","IP Malla Vial del Meta","Villavicencio-Puente Arimena","ANI","73","4G012","4008","0","1","40080","40081","1","-72.9589128056","4.08898198171","-72.9645938964","4.08395340293","852.221826323"
"Moto","50","41,613",,"Aguazul-Maní","DEPTO","83","0",,"0","0",,,"0","-72.4561049285","5.09719675533","-72.4650239386","5.09882306166","1,027.86966159"
"Moto","51","647","Córdoba – Sucre","Sincelejo - Toluviejo","ANI","1,264","3G006",,"0","0",,,"1","-75.4128645575","9.30126144136","-75.4117850708","9.28256561114","2,159.12783166999"
"Moto","52","17,978",,"Cimitarra-Landázuri","INVIAS-OTROS","76","0","6207","30","31","620730","620731","1","-73.9500334207","6.32294392896","-73.9479254392","6.31402327021","1,104.97261815"
"Moto","53","39,314","Santana - Mocoa - Neiva","Isnos-Paletará","ANI","170","4G022","2002","138","139","2002138","2002139","0","-76.1492798026","1.85593333132","-76.1392356161","1.85660525298","1,124.75045629999"
"Moto","54","6,688",,,"OTRO","0","0",,"0","0",,,"0","-76.0628780669","1.83183816248","-76.0576840078","1.82473558951","1,142.55604678999"
"Moto","55","35,236",,"Palmira - El Palo","INVIAS-OTROS","1,052","0","3105","70","71","310570","310571","0","-76.2455541449","3.43213123394","-76.2464045968","3.42536642228","762.636244281"
"Moto","56","35,965",,"Palmira - El Palo","INVIAS-OTROS","1,052","0","3105","68","69","310568","310569","1","-76.2440808408","3.42121491514","-76.2377089039","3.41279187593","1,185.57718049"
"Moto","57","16,182",,"Barbosa - Bucaramanga","INVIAS-OTROS","42","0","45A07","73","75","45A0773","45A0775","0","-73.0324174566","6.95913859089","-73.0247492663","6.9482034107","1,980.22831285999"
"Moto","58","19,393","Desarrollo Vial del Oriente de Medellín – DEVIMED","Medellín - Santuario","ANI","1,212","1G009","6004","2","3","60042","60043","0","-75.5446880878","6.32215331045","-75.5360316504","6.32354035649","1,006.93138498999"
"Moto","59","13,839","Autopistas al Mar 2","Chigorodó-Turbo","ANI","20","4G026","6201","52","53","620152","620153","0","-76.6753611725","7.68787900007","-76.677099964","7.67905556072","1,010.64373502"
"Moto","60","12,874","Autopistas al Mar 2","Chigorodó-Turbo","ANI","20","4G026","6201","10","11","620110","620111","0","-76.6560943187","8.05613088765","-76.6532872042","8.04754813832","1,015.01784723"
"Moto","61","2,032",,"Barbosa - Bucaramanga","INVIAS-OTROS","42","0","45A07","79","80","45A0779","45A0780","1","-73.0480574181","6.99435050798","-73.0425419399","6.98838354965","917.609395184"
"Moto","62","6,050","IP - Nueva Malla Vial del Valle del Cauca",,"ANI","0","5G001",,"0","0",,,"0","-76.4443552954","3.41124224927","-76.4334385683","3.41233130032","1,227.15234867999"
"Moto","63","5,326","IP Malla Vial del Meta","Villavicencio-Puente Arimena","ANI","73","4G012","4008","1","2","40081","40082","1","-72.9495645204","4.09537087846","-72.9589128056","4.08898198171","1,269.68768705999"
"Moto","64","33,240",,"Granada - Villavicencio","DEPTO","53","0",,"0","0",,,"1","-73.6466908451","4.11752059912","-73.6545177895","4.10938876154","1,272.35234311999"
"Moto","65","19,402","Desarrollo Vial del Oriente de Medellín – DEVIMED","Medellín - Santuario","ANI","1,212","1G009","6004","11","12","600411","600412","0","-75.4971612637","6.31483059273","-75.4903911363","6.31842006511","978.185102148"
"Moto","66","37,737",,"Pasto-Popayán","INVIAS-OTROS","3","0","25CCB","4","5","25CCB4","25CCB5","0","-76.6355798445","2.46226479644","-76.6395315606","2.45524283623","978.389860692"
"Moto","67","41,623",,"Aguazul-Maní","DEPTO","83","0",,"0","0",,,"0","-72.523095993","5.15114825444","-72.5302474087","5.15690789332","1,027.86966157999"
"Moto","68","35,282","IP - Nueva Malla Vial del Valle del Cauca","Cali - Palmira","ANI","1,590","5G001","2505","7","8","25057","25058","0","-76.4160741244","3.50691008079","-76.4251128799","3.50497563888","1,029.09408940999"
"Moto","69","19,400","Desarrollo Vial del Oriente de Medellín – DEVIMED","Medellín - Santuario","ANI","1,212","1G009","6004","13","14","600413","600414","0","-75.4899458746","6.32723753707","-75.4831266573","6.32786896675","1,048.0116653"
"Moto","70","11,065","Córdoba – Sucre","Planeta Rica - Sincelejo","ANI","14","3G006","2514","112","113","2514112","2514113","0","-75.4106757578","9.25860219589","-75.414061915","9.2511832427","947.487651717"
"Moto","71","5,855","IP  –  Neiva – Espinal - Girardot","Neiva-Girardot","ANI","27","4G017","4506","39","40","450639","450640","0","-75.2462679239","3.28171000069","-75.2513372317","3.27115477704","1,444.6962808"
"Moto","72","645","Córdoba – Sucre","Sincelejo - Toluviejo","ANI","1,264","3G006",,"0","0",,,"1","-75.4126962633","9.30778427787","-75.4128645575","9.30126144136","737.25755077"
"Moto","73","11,001","Córdoba – Sucre","Planeta Rica - Sincelejo","ANI","14","3G006",,"0","0",,,"1","-75.3871950818","9.29166875704","-75.3880644358","9.29098276583","123.907925309"
"Moto","74","11,023",,"Aguachica  - San Roque","INVIAS-OTROS","31","0","4515","76","77","451576","451577","1","-73.5379101754","9.20354007046","-73.5504641531","9.1991262736","1,499.68123259999"
"Moto","75","40,016",,"Tumaco-Pedregal","INVIAS-OTROS","55","0","1001","64","65","100164","100165","0","-78.5396784623","1.38911731749","-78.5307162607","1.38854687096","1,003.66193783999"
"Moto","76","35,301","IP - Nueva Malla Vial del Valle del Cauca","Cali - Palmira","ANI","1,590","5G001","2505","2","3","25052","25053","0","-76.4599714418","3.49691981151","-76.4684948361","3.4940383316","1,004.9881963"
"Moto","77","40,015",,"Tumaco-Pedregal","INVIAS-OTROS","55","0","1001","65","66","100165","100166","0","-78.5307162607","1.38854687096","-78.5218416878","1.39019728456","1,013.01059625"
"Moto","78","11,073",,"Lorica - Chinú","INVIAS-OTROS","1,263","0","7801","9","10","78019","780110","1","-75.7314045037","9.24117492674","-75.7222872484","9.24130560719","1,016.67300953999"
"Moto","79","17,980",,"Puerto Araújo-Cimitarra","INVIAS-OTROS","75","0","6207","29","30","620729","620730","1","-73.9529095584","6.33115140934","-73.9500334207","6.32294392896","1,019.25932195999"
